Country Name,Country Code,Year,GDP_per_capita,Life_expectancy
Latin America & Caribbean,LCN,2022,9408.84820249156,74.6472095421659
Least developed countries: UN classification,LDC,2022,1299.36172423082,65.7631857632163
Liechtenstein,LIE,2022,188055.003235348,84.1219512195122
Sri Lanka,LKA,2022,3342.63650253855,77.3
Lesotho,LSO,2022,1030.12582947757,56.812
Late-demographic dividend,LTE,2022,12286.0846812169,76.9543256667468
Lithuania,LTU,2022,25085.784063499,75.6439024390244
Luxembourg,LUX,2022,123719.658915996,82.9463414634147
Latvia,LVA,2022,20221.103686109,74.2780487804878
"Macao SAR, China",MAC,2022,36806.891255461,83.0804878048781
Morocco,MAR,2022,3463.1376953125,75.161
Monaco,MCO,2022,226052.001905201,85.746
Moldova,MDA,2022,5744.29618434435,71.546
Madagascar,MDG,2022,503.51453347296,63.068
Maldives,MDV,2022,11786.0191492983,80.76
Mexico,MEX,2022,11405.7940473759,73.973
Marshall Islands,MHL,2022,6455.66062185762,66.725
North Macedonia,MKD,2022,7606.2375253797,74.4248780487805
Mali,MLI,2022,976.914116406452,60.035
Malta,MLT,2022,35638.8869457406,82.4487804878049
Myanmar,MMR,2022,1158.05005055976,66.506
Montenegro,MNE,2022,10024.5435616209,76.1878048780488
Mongolia,MNG,2022,4993.51487463495,71.9007317073171
Northern Mariana Islands,MNP,2022,23785.754590043,78.531
Mozambique,MOZ,2022,578.251663751351,63.011
Mauritania,MRT,2022,1960.35240077424,68.281
Mauritius,MUS,2022,10246.5017455553,73.5146341463415
Malawi,MWI,2022,604.269740360317,66.037
Malaysia,MYS,2022,11754.5678336248,75.444
North America,NAC,2022,74535.6365392629,77.8327679594239
Namibia,NAM,2022,4349.79908493314,64.19
New Caledonia,NCL,2022,33516.363085906,77.698
Niger,NER,2022,609.745147574878,60.398
Nigeria,NGA,2022,2899.16047470324,54.079
Nicaragua,NIC,2022,2322.89053964583,74.463
Netherlands,NLD,2022,59123.318556487,81.6146341463415
Norway,NOR,2022,109269.520580298,82.509756097561
Nepal,NPL,2022,1385.91066274851,70.087
Nauru,NRU,2022,12911.9086441381,61.93
New Zealand,NZL,2022,49099.7090423358,81.9585365853658
Oman,OMN,2022,23223.5829405935,77.911
Other small states,OSS,2022,14320.7706776288,72.9049248661262
Pakistan,PAK,2022,1538.3228133171,67.417
Panama,PAN,2022,17378.6070017557,79.324
Peru,PER,2022,7350.63034300417,76.834
Philippines,PHL,2022,3548.06930572116,69.472
Palau,PLW,2022,13729.7602761496,68.922
Papua New Guinea,PNG,2022,3102.28968594061,65.274
Poland,POL,2022,18891.2121169279,77.1560975609756
Pre-demographic dividend,PRE,2022,1770.15579032781,61.3832880029503
Puerto Rico (US),PRI,2022,35353.6821570014,79.427
Portugal,PRT,2022,24620.5197587181,81.6317073170732
Paraguay,PRY,2022,6205.62595379319,72.319
West Bank and Gaza,PSE,2022,3799.95527015163,76.662
Pacific island small states,PSS,2022,3896.81060847355,69.1004348993561
Post-demographic dividend,PST,2022,50969.801641014,80.1977878300116
French Polynesia,PYF,2022,20053.9569369322,83.859
Qatar,QAT,2022,88701.4689763536,81.857
Romania,ROU,2022,15503.551804598,75.1536585365854
Russian Federation,RUS,2022,15619.6142578125,72.5456097560976
Rwanda,RWA,2022,975.469323735369,67.528
Saudi Arabia,SAU,2022,38510.2276211037,77.31
Sudan,SDN,2022,1046.24084472656,65.695
Senegal,SEN,2022,1574.0281059306,67.788
Singapore,SGP,2022,90299.0694637269,82.8951219512195
Solomon Islands,SLB,2022,1877.78104490956,70.409
Sierra Leone,SLE,2022,860.371067916096,61.275
El Salvador,SLV,2022,5074.60210221806,71.969
San Marino,SMR,2022,54190.8417700372,85.708
"Somalia, Fed. Rep.",SOM,2022,573.141165798229,53.931
Serbia,SRB,2022,10024.8191112596,75.2365853658537
Small states,SST,2022,13636.4661190787,72.3794678577605
Sao Tome and Principe,STP,2022,2389.73729784737,69.237
Suriname,SUR,2022,6084.43876736445,73.254
Slovak Republic,SVK,2022,21317.7943982363,76.9658536585366
Slovenia,SVN,2022,28360.3041467268,81.2829268292683
Sweden,SWE,2022,54836.8907235124,83.0585365853659
Eswatini,SWZ,2022,3894.1620089869,63.028
Sint Maarten (Dutch part),SXM,2022,37793.1284399157,76.18
